,w_geocode,h_geocode,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate,origin_lat,origin_lon,origin_county,dest_lat,dest_lon,dest_county,linestring
1744016,360470439003005,360470493003003,1,1,0,0,1,0,0,0,1,0,20170919,40.7073585,-73.9391957,"Kings County, NY",40.6985169,-73.9102767,"Kings County, NY","LINESTRING(-73.9391957 40.7073585, -73.9102767 40.6985169)"
225900,360050028001017,360050421002000,1,0,1,0,1,0,0,0,1,0,20170919,40.8818775,-73.8828582,"Bronx County, NY",40.822122,-73.8810341,"Bronx County, NY","LINESTRING(-73.8828582 40.8818775, -73.8810341 40.822122)"
4213696,360610114022002,360850208013001,1,0,1,0,0,0,1,0,0,1,20170919,40.5446332,-74.2138675,"Richmond County, NY",40.7635084,-73.9683033,"New York County, NY","LINESTRING(-74.2138675 40.5446332, -73.9683033 40.7635084)"
4076269,360610109001003,360810775001002,2,0,2,0,0,0,2,0,0,2,20170919,40.7070551,-73.8332771,"Queens County, NY",40.7531852,-73.9908863,"New York County, NY","LINESTRING(-73.8332771 40.7070551, -73.9908863 40.7531852)"
458334,360050431004000,360050403043000,1,0,0,1,1,0,0,0,0,1,20170919,40.8664223,-73.8949582,"Bronx County, NY",40.8856603,-73.8782857,"Bronx County, NY","LINESTRING(-73.8949582 40.8664223, -73.8782857 40.8856603)"
1838310,360470549001000,360610152002001,2,1,0,1,1,1,0,0,0,2,20170919,40.7807562,-73.9458921,"New York County, NY",40.7098031,-73.9631854,"Kings County, NY","LINESTRING(-73.9458921 40.7807562, -73.9631854 40.7098031)"
216656,360050001001013,360810779043004,1,0,1,0,0,0,1,0,0,1,20170919,40.7186208,-73.8159287,"Queens County, NY",40.7885305,-73.8848438,"Bronx County, NY","LINESTRING(-73.8159287 40.7186208, -73.8848438 40.7885305)"
1774135,360470481003000,360470561003003,1,0,1,0,0,0,1,0,0,1,20170919,40.7264102,-73.9517795,"Kings County, NY",40.7142055,-73.9380493,"Kings County, NY","LINESTRING(-73.9517795 40.7264102, -73.9380493 40.7142055)"
1500254,360470041002001,360811008012004,1,0,0,1,0,1,0,0,0,1,20170919,40.611341,-73.7661007,"Queens County, NY",40.686399,-73.986559,"Kings County, NY","LINESTRING(-73.7661007 40.611341, -73.986559 40.686399)"
3482873,360610062001002,360610158013000,1,0,1,0,0,0,1,0,0,1,20170919,40.7845915,-73.9529225,"New York County, NY",40.73904,-73.9756052,"New York County, NY","LINESTRING(-73.9529225 40.7845915, -73.9756052 40.73904)"
5778553,360810947002008,360810497002003,1,0,1,0,0,0,1,0,0,1,20170919,40.7301896,-73.8893463,"Queens County, NY",40.7860637,-73.8443192,"Queens County, NY","LINESTRING(-73.8893463 40.7301896, -73.8443192 40.7860637)"
5434280,360810179001019,360470573001005,1,0,0,1,0,0,1,1,0,0,20170919,40.7280591,-73.9467742,"Kings County, NY",40.7455607,-73.931028,"Queens County, NY","LINESTRING(-73.9467742 40.7280591, -73.931028 40.7455607)"
3867932,360610096001002,360610230004000,1,0,0,1,0,1,0,0,1,0,20170919,40.8200072,-73.9421269,"New York County, NY",40.757651,-73.9799526,"New York County, NY","LINESTRING(-73.9421269 40.8200072, -73.9799526 40.757651)"
4132972,360610112021000,360050323001001,1,0,0,1,0,0,1,0,1,0,20170919,40.905551,-73.9064029,"Bronx County, NY",40.7629383,-73.9708345,"New York County, NY","LINESTRING(-73.9064029 40.905551, -73.9708345 40.7629383)"
3711012,360610084002005,360850189022016,1,1,0,0,1,0,0,0,1,0,20170919,40.6049642,-74.1401564,"Richmond County, NY",40.7498135,-73.9850088,"New York County, NY","LINESTRING(-74.1401564 40.6049642, -73.9850088 40.7498135)"
