,w_geocode,h_geocode,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate,origin_lat,origin_lon,origin_county,dest_lat,dest_lon,dest_county,linestring
3939673,360610100002001,361190019001022,1,0,1,0,0,1,0,0,0,1,20170919,40.9624065,-73.8673525,"Westchester County, NY",40.7589768,-73.9695081,"New York County, NY","LINESTRING(-73.8673525 40.9624065, -73.9695081 40.7589768)"
6645750,361031469022000,360594118001017,1,1,0,0,0,0,1,0,0,1,20170919,40.6625443,-73.6728105,"Nassau County, NY",40.6851595,-73.2949584,"Suffolk County, NY","LINESTRING(-73.6728105 40.6625443, -73.2949584 40.6851595)"
3988240,360610102001005,360470427003001,1,0,1,0,0,0,1,0,0,1,20170919,40.7031425,-73.9279914,"Kings County, NY",40.7597112,-73.9731895,"New York County, NY","LINESTRING(-73.9279914 40.7031425, -73.9731895 40.7597112)"
5752772,360810884002005,360470884003000,1,0,1,0,0,0,1,0,1,0,20170919,40.6611312,-73.9222582,"Kings County, NY",40.6620565,-73.839838,"Queens County, NY","LINESTRING(-73.9222582 40.6611312, -73.839838 40.6620565)"
4299048,360610122001002,360610130001000,1,0,1,0,0,0,1,0,0,1,20170919,40.7743463,-73.962513,"New York County, NY",40.7685696,-73.9667265,"New York County, NY","LINESTRING(-73.962513 40.7743463, -73.9667265 40.7685696)"
1436121,360470011001006,360811257001003,1,0,1,0,0,0,1,0,1,0,20170919,40.7271542,-73.8078679,"Queens County, NY",40.6919339,-73.98773,"Kings County, NY","LINESTRING(-73.8078679 40.7271542, -73.98773 40.6919339)"
4399331,360610133004000,360470598002001,1,0,1,0,0,0,1,1,0,0,20170919,40.587198,-73.9329193,"Kings County, NY",40.7662759,-73.9887721,"New York County, NY","LINESTRING(-73.9329193 40.587198, -73.9887721 40.7662759)"
6654697,361031472005017,361031115062016,1,1,0,0,0,1,0,0,0,1,20170919,40.8353628,-73.3622511,"Suffolk County, NY",40.7197755,-73.2495112,"Suffolk County, NY","LINESTRING(-73.3622511 40.8353628, -73.2495112 40.7197755)"
6396837,361031223001001,361031118013025,1,0,1,0,0,1,0,0,0,1,20170919,40.8446888,-73.3189048,"Suffolk County, NY",40.7570941,-73.4090795,"Suffolk County, NY","LINESTRING(-73.3189048 40.8446888, -73.4090795 40.7570941)"
5914815,360850007002000,360610218003001,1,0,1,0,0,0,1,0,0,1,20170919,40.8028294,-73.9546765,"New York County, NY",40.645762,-74.0833921,"Richmond County, NY","LINESTRING(-73.9546765 40.8028294, -74.0833921 40.645762)"
371567,360050284001014,360050368002001,2,0,2,0,0,1,1,0,0,2,20170919,40.876228,-73.8586147,"Bronx County, NY",40.8474091,-73.8414029,"Bronx County, NY","LINESTRING(-73.8586147 40.876228, -73.8414029 40.8474091)"
1404167,360470007003003,360470082002000,1,1,0,0,0,1,0,0,0,1,20170919,40.6499864,-74.0070786,"Kings County, NY",40.6908275,-73.9951388,"Kings County, NY","LINESTRING(-74.0070786 40.6499864, -73.9951388 40.6908275)"
3874496,360610096001004,360470593001005,1,0,1,0,0,1,0,0,1,0,20170919,40.724863,-73.9391423,"Kings County, NY",40.756397,-73.9808647,"New York County, NY","LINESTRING(-73.9391423 40.724863, -73.9808647 40.756397)"
3381534,360610052002006,360050169001002,1,0,1,0,1,0,0,0,0,1,20170919,40.8388473,-73.9046326,"Bronx County, NY",40.7359509,-73.9924173,"New York County, NY","LINESTRING(-73.9046326 40.8388473, -73.9924173 40.7359509)"
1865300,360470576001001,360050127012000,1,0,1,0,1,0,0,0,0,1,20170919,40.8255908,-73.8924489,"Bronx County, NY",40.6009823,-73.9473276,"Kings County, NY","LINESTRING(-73.8924489 40.8255908, -73.9473276 40.6009823)"
3339993,360610049001002,360610034001000,1,0,1,0,0,0,1,0,1,0,20170919,40.7295909,-73.9794396,"New York County, NY",40.7254,-73.9984762,"New York County, NY","LINESTRING(-73.9794396 40.7295909, -73.9984762 40.7254)"
1923942,360470806002000,360470674001001,1,1,0,0,1,0,0,0,0,1,20170919,40.6200039,-73.9294326,"Kings County, NY",40.6617772,-73.9413268,"Kings County, NY","LINESTRING(-73.9294326 40.6200039, -73.9413268 40.6617772)"
2494685,360593029004016,360810462003002,1,0,0,1,0,1,0,1,0,0,20170919,40.7101273,-73.7908589,"Queens County, NY",40.73864,-73.6720137,"Nassau County, NY","LINESTRING(-73.7908589 40.7101273, -73.6720137 40.73864)"
3084249,360610015011005,360610171002001,1,0,1,0,0,0,1,0,0,1,20170919,40.7857607,-73.9774854,"New York County, NY",40.7107756,-74.0082321,"New York County, NY","LINESTRING(-73.9774854 40.7857607, -74.0082321 40.7107756)"
3532878,360610071005001,360810713032000,1,0,1,0,0,0,1,0,0,1,20170919,40.7262894,-73.8499515,"Queens County, NY",40.7336517,-74.0007611,"New York County, NY","LINESTRING(-73.8499515 40.7262894, -74.0007611 40.7336517)"
4183956,360610113001008,360595180002012,1,0,1,0,0,0,1,0,1,0,20170919,40.8691131,-73.5245843,"Nassau County, NY",40.7548555,-73.9872173,"New York County, NY","LINESTRING(-73.5245843 40.8691131, -73.9872173 40.7548555)"
6502016,361031350021025,360470305004001,1,0,0,1,0,1,0,0,0,1,20170919,40.675078,-73.9587793,"Kings County, NY",40.877981,-73.1691386,"Suffolk County, NY","LINESTRING(-73.9587793 40.675078, -73.1691386 40.877981)"
239380,360050052001003,360050381006000,1,0,1,0,0,1,0,0,1,0,20170919,40.8506888,-73.9022367,"Bronx County, NY",40.8242576,-73.8837822,"Bronx County, NY","LINESTRING(-73.9022367 40.8506888, -73.8837822 40.8242576)"
3969834,360610101001007,360610042002000,1,1,0,0,1,0,0,0,0,1,20170919,40.7313421,-73.9895616,"New York County, NY",40.7488017,-73.9903573,"New York County, NY","LINESTRING(-73.9895616 40.7313421, -73.9903573 40.7488017)"
6415680,361031224032026,361031459012011,1,1,0,0,0,0,1,1,0,0,20170919,40.7566289,-73.2874885,"Suffolk County, NY",40.7374307,-73.3793224,"Suffolk County, NY","LINESTRING(-73.2874885 40.7566289, -73.3793224 40.7374307)"
2907672,360595196011011,360595209003008,1,0,1,0,0,1,0,0,1,0,20170919,40.6967102,-73.4709061,"Nassau County, NY",40.7819844,-73.5016051,"Nassau County, NY","LINESTRING(-73.4709061 40.6967102, -73.5016051 40.7819844)"
4370131,360610130004002,360610159004002,1,0,1,0,0,0,1,0,0,1,20170919,40.780557,-73.9831578,"New York County, NY",40.773753,-73.9650427,"New York County, NY","LINESTRING(-73.9831578 40.780557, -73.9650427 40.773753)"
3826024,360610094001008,360595213021008,1,0,1,0,0,0,1,0,0,1,20170919,40.6623668,-73.474893,"Nassau County, NY",40.7542232,-73.9776529,"New York County, NY","LINESTRING(-73.474893 40.6623668, -73.9776529 40.7542232)"
4563664,360610174012000,360810123012009,1,0,1,0,0,1,0,0,0,1,20170919,40.7733086,-73.90081,"Queens County, NY",40.7949355,-73.9495839,"New York County, NY","LINESTRING(-73.90081 40.7733086, -73.9495839 40.7949355)"
5519646,360810317001001,360593024005001,1,0,0,1,0,0,1,0,0,1,20170919,40.7705212,-73.6425285,"Nassau County, NY",40.775237,-73.8909907,"Queens County, NY","LINESTRING(-73.6425285 40.7705212, -73.8909907 40.775237)"
6530165,361031352091035,361031587053005,1,1,0,0,1,0,0,0,0,1,20170919,40.8673426,-72.9732871,"Suffolk County, NY",40.8091964,-73.2428078,"Suffolk County, NY","LINESTRING(-72.9732871 40.8673426, -73.2428078 40.8091964)"
3541429,360610072003002,360610136002000,1,0,0,1,0,0,1,0,0,1,20170919,40.7734997,-73.9503675,"New York County, NY",40.7432952,-73.9830437,"New York County, NY","LINESTRING(-73.9503675 40.7734997, -73.9830437 40.7432952)"
1510701,360470053001012,360470500003001,1,0,1,0,1,0,0,0,0,1,20170919,40.646585,-73.9765915,"Kings County, NY",40.6788354,-74.017249,"Kings County, NY","LINESTRING(-73.9765915 40.646585, -74.017249 40.6788354)"
6466851,361031237011010,361031241021018,1,0,1,0,0,0,1,0,0,1,20170919,40.6788912,-73.3652178,"Suffolk County, NY",40.6884973,-73.3955308,"Suffolk County, NY","LINESTRING(-73.3652178 40.6788912, -73.3955308 40.6884973)"
2473206,360593020003036,360593012003004,1,0,0,1,0,0,1,0,1,0,20170919,40.8313429,-73.6940367,"Nassau County, NY",40.8042316,-73.645482,"Nassau County, NY","LINESTRING(-73.6940367 40.8313429, -73.645482 40.8042316)"
4567103,360610177001001,360594118001014,1,0,1,0,0,0,1,0,0,1,20170919,40.6636678,-73.6733652,"Nassau County, NY",40.7912118,-73.97058,"New York County, NY","LINESTRING(-73.6733652 40.6636678, -73.97058 40.7912118)"
4314147,360610125001000,360811241003001,1,0,1,0,0,0,1,0,0,1,20170919,40.7259909,-73.8058504,"Queens County, NY",40.7601813,-73.9820794,"New York County, NY","LINESTRING(-73.8058504 40.7259909, -73.9820794 40.7601813)"
263081,360050087001002,360610149004000,1,1,0,0,0,1,0,0,0,1,20170919,40.7710913,-73.9804743,"New York County, NY",40.8195407,-73.8993885,"Bronx County, NY","LINESTRING(-73.9804743 40.7710913, -73.8993885 40.8195407)"
